longitude,latitude,count
-4.491614,48.248337,2
-4.4901912,48.0437062,3
-4.488049,48.042675,2
-4.486453,48.014278,2
-4.486429,48.041206,2
-4.485326,48.383497,2
-4.485094,48.401232,2
-4.484792,48.390708,2
-4.482921,48.387238,2
-4.479677,48.41308,2
-4.47903,48.393239,2
-4.475316,48.41522,6
-4.47419,48.427342,2
-4.472038,48.251047,12
-4.4715,48.4162,8
-4.471092,48.249887,8
-4.46994802,48.4305668,16
-4.469946,48.430785,18
-4.469923,48.430738,18
-4.469676,48.430089,2
-4.469031,48.427316,3
-4.468967,48.410809,2
-4.468301,48.420313,8
-4.46807,48.4143,2
-4.468013,48.414563,2
-4.468012,48.414563,2
-4.467096,48.408591,6
-4.46623,48.431081,2
-4.465623,48.450323,2
-4.462316,48.432114,5
-4.461408,48.28619,2
-4.459506,48.432494,12
-4.459505,48.432495,12
-4.459112,48.419313,2
-4.451106,48.531193,2
-4.444479,48.418855,6
-4.443875,48.4187,2
-4.44354,48.418098,4
-4.442913,48.414142,4
-4.442221,48.416862,2
-4.440279,48.417574,22
-4.43614,48.416876,13
-4.436009,48.390076,12
-4.433549,48.493946,8
-4.431403,48.425601,4
-4.430538,48.497616,2
-4.429882,48.050847,2
-4.425199,48.440343,5
-4.424868,47.987743,2
-4.424026,47.985855,2
-4.418989,48.247986,2
-4.414799,48.080925,2
-4.411448,48.633446,2
-4.408368,48.399504,6
-4.408285,48.436954,4
-4.40016,48.435581,2
-4.391973,48.401993,2
-4.377489,48.381631,6
-4.375518,47.817368,2
-4.374469,48.471878,2
-4.370741,48.37197,2
-4.367066,48.644726,2
-4.360262,48.102444,2
-4.354569,48.231087,2
-4.35092,48.100822,4
-4.350407,48.384312,2
-4.34847,48.08875,4
-4.348032,48.383311,8
-4.345813,48.091076,14
-4.34412555335494,48.38301061460811,3
-4.341825,48.09568,2
-4.338306,48.00124,4
-4.338243,48.000721,2
-4.336334,48.599065,4
-4.335426,48.561989,2
-4.330149,48.092033,2
-4.326797,48.664791,2
-4.326583,48.043823,2
-4.325838,47.83265,1
-4.32102,48.086506,2
-4.320383,48.573498,2
-4.317977,48.245838,2
-4.317882,48.082424,4
-4.315567,48.427998,2
-4.311923642006398,48.56188183596941,3
-4.311651,48.538128,2
-4.30713,48.383247,2
-4.3014675449296575,48.65384780974451,2
-4.299168,48.608871,2
-4.298487,48.611068,6
-4.297224,48.321837,2
-4.289413,48.48246,4
-4.287279,47.819499,6
-4.284916,47.841686,2
-4.280342,47.796131,2
-4.280146,47.901947,2
-4.276989,47.79454,2
-4.27342,48.091825,2
-4.27096,47.981709,2
-4.270626,48.397804,2
-4.2668135,48.4467491,6
-4.263456,48.466096,4
-4.262154,48.361095,2
-4.261618,48.465452,16
-4.261381,48.444599,2
-4.257667,48.358511,2
-4.256995,48.065521,2
-4.255886,48.453716,2
-4.251662,48.449455,2
-4.237424,47.871485,2
-4.235011,48.180679,2
-4.23486,47.865383,15
-4.2298840705349,48.181874368536,5
-4.228642,47.824329,2
-4.225761,48.034259,4
-4.224656,47.870659,2
-4.224541,47.862942,2
-4.224181,47.866322,2
-4.223356,48.091111,6
-4.221155,48.125313,2
-4.219458,47.932816,2
-4.218486,47.881865,2
-4.217891,47.88036,2
-4.21755920330091,47.8823659955297,3
-4.214177,48.370193,2
-4.211916,48.098244,2
-4.211429,48.617405,2
-4.211415,48.513668,2
-4.207378,48.016224,2
-4.203651,48.472099,2
-4.190454,48.07729,2
-4.18113,47.979057,2
-4.176747,48.293953,2
-4.176036,48.658459,2
-4.174933,47.832439,2
-4.169359,48.29842,3
-4.169184,48.29814,9
-4.167864,47.845467,2
-4.165494,48.219227,2
-4.160853,48.328011,2
-4.157351,47.854123,2
-4.153028,47.935135,2
-4.139651,48.159222,2
-4.132028,48.593161,2
-4.1279,47.986479,2
-4.123075,47.874435,2
-4.119875,48.11594,2
-4.116132,47.876938,2
-4.115754,47.910778,2
-4.112415,48.605137,2
-4.108546,47.984016,8
-4.108344,47.997848,1
-4.10767,47.983077,8
-4.107662,47.987275,6
-4.106747,47.87693,2
-4.106417,47.999485,2
-4.106007,47.979312,6
-4.104722,47.976215,2
-4.104505,48.011852,4
-4.104504,47.993977,2
-4.104016,48.663445,2
-4.102162,47.871059,2
-4.102052,47.999451,2
-4.099941,48.664188,4
-4.097451242849507,48.19363035266965,1
-4.095822,48.006672,2
-4.095428,48.010571,2
-4.093842,48.00309,2
-4.093657,48.013607,2
-4.093426,48.194569,2
-4.093084,48.411409,2
-4.093014,47.9941765,2
-4.092968,47.993985,2
-4.092065,48.410626,2
-4.087262,48.200114,4
-4.087038835659776,47.99323043901152,2
-4.085618,48.553905,2
-4.0849509,48.1966059,4
-4.084713,47.992721,2
-4.0845509,48.0152468,6
-4.083755,48.031239,4
-4.08335,47.984688,2
-4.081578,47.981246,2
-4.08129,48.015887,10
-4.079986,47.978501,12
-4.079161,48.405582,2
-4.078652,48.689281,2
-4.075207,48.012242,8
-4.074622,47.99122,4
-4.074108,48.011511,12
-4.074107,48.011512,12
-4.073215,48.010534,2
-4.072221,48.509758,2
-4.072117,47.997704,4
-4.072012,47.9832,2
-4.071676,47.99761,2
-4.071231,47.997838,2
-4.070351,47.998468,4
-4.0700946,48.5083587,2
-4.069819,47.998556,2
-4.068542,48.511307,2
-4.067573,48.241135,2
-4.06554,47.973234,3
-4.064729,47.89743,2
-4.0575182,48.0924068,2
-4.056758,48.211203,4
-4.056024,48.514882,15
-4.052872,48.515488,4
-4.052514150796408,48.51491768098993,3
-4.052104,47.998576,8
-4.051803,47.999352,2
-4.051339,48.514536,2
-4.05061,48.21619,4
-4.048031,48.000971,2
-4.045589,47.906719,2
-4.038806,47.981294,4
-4.038069,48.578644,2
-4.033356,47.982139,2
-4.0332014528133,47.979369220946,5
-4.02938,47.900437,2
-4.02886,47.901146,4
-4.028332,47.995932,2
-4.027782,47.901725,2
-4.02585,48.702991,2
-4.024456,48.008377,2
-4.02287,47.935459,2
-4.021808,48.019429,2
-4.021459,47.856844,2
-4.012943,47.895412,2
-4.012079,47.856128,4
-4.011984,47.891369,2
-4.007961,48.449225,2
-4.0038281,48.6689574,3
-4.002561,48.101925,2
-4.001539,48.682399,2
-4.000786,48.487654,2
-4.0007095,47.9754987,4
-3.998364,47.885384,2
-3.997738,48.678706,10
-3.992084,47.963691,1
-3.991657,48.722905,2
-3.990001,48.682721,2
-3.989944,48.631069,2
-3.989366,48.682284,2
-3.988846,48.678314,2
-3.9866657042992,48.687893180561,7
-3.98622,48.686703,2
-3.985369,48.724209,2
-3.980556,48.722633,2
-3.977736,47.909428,2
-3.975574,48.104568,2
-3.975,48.220598,4
-3.9749,48.220597,2
-3.9748,48.220596,4
-3.9737181893503983,48.1698302011628,2
-3.969462,48.225613,2
-3.956018,48.413948,2
-3.955801,48.302963,2
-3.946151,48.521469,2
-3.937679,47.966953,2
-3.93,47.87,2
-3.924636,47.877735,2
-3.9177,47.87339,2
-3.917199,47.870399,2
-3.916776,47.888326,4
-3.915257270044717,47.89006916274028,3
-3.91355,48.667358,2
-3.911899,48.066157,2
-3.909739,47.872265,2
-3.9094767374344,47.898808212786,5
-3.907605,47.900894,2
-3.903188,47.899907,2
-3.901737,47.921692,2
-3.89678,48.301083,2
-3.8939776210727,47.869268830953,7
-3.890398,47.996445,2
-3.885427,48.164818,2
-3.880052,47.840631,2
-3.88,47.84,1
-3.878658,48.551712,2
-3.874457,48.5084,2
-3.867438,48.517154,4
-3.862684,48.106586,2
-3.854796,48.578236,12
-3.854795,48.578237,12
-3.85318,48.57439,9
-3.851396,47.854599,2
-3.850635,47.855431,2
-3.8498481,47.9641685,5
-3.843285,48.575516,2
-3.836316,47.906761,2
-3.836133,48.13726,2
-3.833975,48.578419,6
-3.832769,47.960244,2
-3.832747,48.060768,2
-3.83211,48.58287,2
-3.829561,47.958473,2
-3.8293749,48.5750142,1
-3.826666,48.59115,8
-3.82614,48.253262,2
-3.822053,48.640057,2
-3.822048,48.202369,2
-3.819526,48.195295,4
-3.818973,48.192974,2
-3.817576,48.575111,2
-3.817317,48.592746,2
-3.8135152241898,48.59662932415,5
-3.8124029,48.183467,2
-3.80166,47.889305,2
-3.799367,48.153252,2
-3.794862,47.825895,1
-3.792689,48.696903,2
-3.791397,47.818333,2
-3.790516,47.79956,2
-3.790468,48.534348,2
-3.789187,47.844714,6
-3.7853662,48.0997833,2
-3.783175,48.162934,2
-3.774598,48.286277,2
-3.752462,47.856537,2
-3.750712,48.362984,2
-3.728953,48.227061,2
-3.7200186025509,48.641981250625,6
-3.719763,48.019809,4
-3.717242,48.573877,6
-3.717236,48.645733,2
-3.717093,48.126648,2
-3.71709,48.1266,2
-3.715855,48.191702,2
-3.712219,48.520206,2
-3.709654,48.667439,2
-3.706109,47.926643,2
-3.7049628,47.9265707,6
-3.702015,48.025848,2
-3.70173,48.567532,2
-3.700252,47.93338,2
-3.69776,48.31896,4
-3.691156,47.843136,2
-3.687908,47.846202,4
-3.678202,48.433521,2
-3.675449,48.621498,2
-3.6447748899666,48.048179763944,2
-3.6447,48.0481,2
