code_geo,latitude,longitude,city_code,zip_code,NB_VP_RECHARGEABLES_EL,NB_VP_RECHARGEABLES_GAZ,NB_VP
89118,47.698666669,3.586298908,coulanges la vineuse,89580,11,0,1589
89119,47.541471564,3.5242022950000003,coulanges sur yonne,89480,9,0,1040
89120,48.162273995,3.59397768,coulours,89320,0,0,548
89122,48.290060396,3.546613198,courgenay,89190,20,0,2693
89123,47.777011778,3.743965415,courgis,89800,21,0,2835
89124,48.345034965,3.177440532,courlon sur yonne,89140,55,0,4473
89125,47.600127941,3.501035932,courson les carrieres,89560,18,0,2047
89126,48.121668646,3.109642567,courtoin,89150,0,0,196
89127,48.229644013,3.248949911,courtois sur yonne,89100,32,0,3884
89128,47.602198552,3.942659486,coutarnoux,89440,7,0,645
89129,47.537880798,3.567911898,crain,89480,13,0,1879
89130,47.68299074,3.711685834,deux rivieres,89460,312,0,22842
89131,47.872779678,4.228567388,cruzy le chatel,89740,22,0,2263
89132,47.703490569,4.228114715,cry,89390,13,0,1133
89133,47.982249395,3.174357178,cudot,89116,4,0,2424
89134,47.463587192,4.022199575,cussy les forges,89420,20,0,2918
89136,48.256863796,3.273189608,cuy,89140,50,0,5832
89137,47.899114983,3.981646895,dannemoine,89700,18,0,1995
89139,47.720241031,3.403768891,diges,89240,44,0,6740
89141,47.593444777,3.982077083,dissangis,89440,3,0,785
89142,48.077970194,3.423760489,dixmont,89500,34,0,4809
89143,48.21013489,3.06486048,dollot,89150,23,0,2496
89144,48.117160131,3.059095674,domats,89150,55,0,5540
89145,47.410304819,3.813940809,domecy sur cure,89450,6,0,2427
89146,47.489293447,3.810687927,domecy sur le vault,89200,3,0,302
89147,47.748934969,3.231164663,dracy,89130,13,0,1689
89148,47.559354064,3.417718025,druyes les belles fontaines,89560,7,0,1296
89149,47.892022169,3.862437872,dye,89360,0,0,1213
89150,47.809695205,3.37508688,egleny,89240,34,0,3891
89151,48.112374865,3.178951265,egriselles le bocage,89500,6,0,1748
89152,47.946254387,3.470339438,epineau les voves,89400,30,0,5951
89153,47.881275268,3.989471932,epineuil,89700,12,0,1860
89154,47.717672855,3.473071106,escamps,89240,39,0,5946
89155,47.722128561,3.60283481,escolives ste camille,89290,39,0,5623
89156,48.007205959,3.5683008750000003,esnon,89210,45,0,4112
89158,47.511246919,3.350167331,etais la sauvin,89480,18,0,4706
89159,47.528769475,3.913979897,etaule,89200,3,0,517
89160,48.136687998,3.275848028,etigny,89510,64,0,6684
89161,47.671812324,4.146712386,etivey,89310,6,0,1707
89162,48.26855397,3.259845097,evry,89140,24,0,2127
89163,47.887287378,3.240220776,la ferte loupiere,89110,20,0,3568
89164,47.559329914,3.534205903,festigny,89480,2,0,313
89165,48.212050376,3.587233401,flacy,89190,0,0,869
89167,47.865280541,3.444588282,fleury la vallee,89113,33,0,4939
89168,47.816641905,3.859904589,fleys,89800,2,0,925
89169,47.961258779,3.88397401,flogny la chapelle,89360,32,0,3317
89170,47.437254966,3.758935762,foissy les vezelay,89450,0,0,344
89171,48.222011486,3.50538892,foissy sur vanne,89190,4,0,749
89172,48.224664404,3.400717887,fontaine la gaillarde,89100,26,0,1187
89173,47.692511501,3.256152158,fontaines,89130,8,0,2926
89175,47.843049259,3.814586924,fontenay pres chablis,89800,14,0,779
